Countries,Years,grad(cement_CS/built_surface),grad(cement_CS),CS_tapio_elasticity
Austria,1980 - 1985,-0.119520513,-0.049185473,2.4299962063664187
Austria,1985 - 1990,0.091862901,0.17431959376574221,0.5269797788433808
Austria,1990 - 1995,0.11885103976703851,0.21553479235407716,0.5514239184724844
Austria,1995 - 2000,0.077702391,0.16685571230094592,0.4656861316599515
Austria,2000 - 2005,0.020055103518608543,0.092714123,0.21631120434667397
Austria,2005 - 2010,-0.048079917,0.017378426,-2.766643999
Austria,2010 - 2015,-0.068761019,-0.010525511,6.532796376487193
Austria,2015 - 2020,-0.063449843,-0.017647434,3.5954146193521916
Azerbaijan,1975 - 1980,0.003097734,0.056878774622954154,0.054462031488523806
Azerbaijan,1980 - 1985,-0.005515325,0.046151723,-0.119504215
Azerbaijan,1985 - 1990,0.001873981,0.052237829287608624,0.035874015
Azerbaijan,1990 - 1995,-0.570503863,-0.51922831,1.098753384023866
Azerbaijan,1995 - 2000,0.34576797374759977,0.4963657998733538,0.6965991086328297
Azerbaijan,2000 - 2005,2.061981901270333,2.378213340273512,0.8670298271193743
Azerbaijan,2005 - 2010,0.084505913,0.1908456720102441,0.44279711382934467
Azerbaijan,2010 - 2015,0.002748125,0.092271976,0.029782874754452564
Azerbaijan,2015 - 2020,-0.162546852,-0.101843593,1.596043968495989
Bangladesh,1975 - 1980,1.8621119732111782,2.9711789189405606,0.6267249546436454
Bangladesh,1980 - 1985,-0.43916887,-0.192176532,2.285236738428977
Bangladesh,1985 - 1990,2.9284635304803044,4.457396973826394,0.6569896169616688
Bangladesh,1990 - 1995,0.5589012299456045,0.7597131308891654,0.7356740422420613
Bangladesh,1995 - 2000,1.3362739320970165,1.6528838084008481,0.8084500104032424
Bangladesh,2000 - 2005,1.0811498596354956,1.3088958746965298,0.8260014264970943
Bangladesh,2005 - 2010,0.4592608103258147,0.6364673894864448,0.7215779125720562
Bangladesh,2010 - 2015,0.496989257,0.6768949885774348,0.7342191408396221
Bangladesh,2015 - 2020,-0.330675404,-0.257513918,1.2841069186853409
Belarus,1975 - 1980,-0.00982587,0.056878774,-0.172751082
Belarus,1980 - 1985,-0.017014283,0.046151726,-0.368659737
Belarus,1985 - 1990,-0.008523789,0.052237827,-0.163172737
Belarus,1990 - 1995,-0.438420216,-0.384377703,1.1405974186699865
Belarus,1995 - 2000,0.025429416278566083,0.12102521294574413,0.2101166827937427
Belarus,2000 - 2005,0.23816315611375646,0.3140843770343171,0.7582776270585868
Belarus,2005 - 2010,0.5623237339851946,0.6566023655710673,0.8564144198538248
Belarus,2010 - 2015,-0.100717686,-0.051137324,1.9695533198845068
Belarus,2015 - 2020,-0.048990633,-0.009891723,4.952689593124717
Belgium,1975 - 1980,0.037956569,0.12855763632173803,0.2952494276033359
Belgium,1980 - 1985,-0.194164644,-0.128181692,1.5147611276319382
Belgium,1985 - 1990,0.12257331957617625,0.20886453397067511,0.5868555912579477
Belgium,1990 - 1995,0.05102365,0.1671769291033275,0.3052074827127017
Belgium,1995 - 2000,-0.120233804,-0.028446216,4.226706454233006
Belgium,2000 - 2005,-0.021613045,0.053672645706822855,-0.402682682
Belgium,2005 - 2010,0.040606177,0.11740915730159052,0.3458518732877834
Belgium,2010 - 2015,-0.01598538,0.047394468,-0.337283668
Belgium,2015 - 2020,0.046573557316111555,0.088044631,0.5289766863036427
Brazil,1975 - 1980,0.45156264549362224,0.5926716375842089,0.7619103342522656
Brazil,1980 - 1985,-0.064724398,0.020944550923331823,-3.090273872
Brazil,1985 - 1990,-0.125554069,-0.050074363,2.5073522771060803
Brazil,1990 - 1995,-0.103921473,0.006274943,-16.56134254
Brazil,1995 - 2000,0.303895473,0.4568328577444166,0.665222449
Brazil,2000 - 2005,-0.163050857,-0.106730453,1.5276882344533136
Brazil,2005 - 2010,0.4564532829434634,0.5541345779847935,0.8237227942053985
Brazil,2010 - 2015,0.079343821,0.14487869597481487,0.5476569248432069
Brazil,2015 - 2020,-0.07540727,-0.034238857,2.2023886883103283
Bulgaria,1975 - 1980,0.1520273039417662,0.2267854855516331,0.6703572919226948
Bulgaria,1980 - 1985,-0.031275037,0.028656849639807018,-1.091363411
Bulgaria,1985 - 1990,-0.076189234,-0.021623459,3.523452710790746
Bulgaria,1990 - 1995,-0.206155579,-0.147492942,1.3977318210739778
Bulgaria,1995 - 2000,-0.550738267,-0.519166979,1.060811433746947
Bulgaria,2000 - 2005,0.3665557650643212,0.4459415099505535,0.8219817103479901
Bulgaria,2005 - 2010,0.049729023,0.10937144855769305,0.4546801139202923
Bulgaria,2010 - 2015,-0.076566381,-0.026315232,2.909584135063293
Bulgaria,2015 - 2020,0.19157615845639978,0.2522948104256038,0.7593345187450511
Canada,1975 - 1980,0.064634918,0.13285566660287942,0.48650478534792807
